checking account status,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,employment,Installment,status n sex,Other debtors / guarantors,residence,Property,Age in years,Other installment plans,Housing,existing credits no.,Job,liability responsibles,Telephone,foreign worker,Category
no_checking_account,18,existing_credits_paid_duly,radio_tv,433,less_than_100_DM,unemployed,3,female_divorced_separated_married,co_applicant,4,real_estate,22,none,rent,1,skilled_employee,1,none,yes,1
less_than_0_DM,6,critical_account,car_new,666,greater_than_1000_DM,4_to_7_years,3,female_divorced_separated_married,none,4,real_estate,39,none,own,2,unskilled_resident,1,yes_registered,yes,0
greater_than_200_DM,12,existing_credits_paid_duly,furniture,2251,less_than_100_DM,1_to_4_years,1,female_divorced_separated_married,none,2,car_other,46,none,own,1,unskilled_resident,1,none,yes,0
0_to_200_DM,30,existing_credits_paid_duly,car_new,2150,less_than_100_DM,1_to_4_years,4,female_divorced_separated_married,guarantor,2,unknown_no_property,24,bank,own,1,skilled_employee,1,none,yes,1
no_checking_account,24,delay_in_paying,furniture,4151,100_to_500_DM,1_to_4_years,2,male_single,none,3,savings_insurance,35,none,own,2,skilled_employee,1,none,yes,0
0_to_200_DM,9,existing_credits_paid_duly,furniture,2030,unknown_no_savings,4_to_7_years,2,male_single,none,1,car_other,24,none,own,1,skilled_employee,1,yes_registered,yes,0
0_to_200_DM,60,delay_in_paying,radio_tv,7418,unknown_no_savings,1_to_4_years,1,male_single,none,1,real_estate,27,none,own,1,unskilled_resident,1,none,yes,0
no_checking_account,24,critical_account,radio_tv,2684,less_than_100_DM,1_to_4_years,4,male_single,none,2,real_estate,35,none,own,2,unskilled_resident,1,none,yes,0
less_than_0_DM,12,all_credits_paid_duly,radio_tv,2149,less_than_100_DM,1_to_4_years,4,male_divorced_separated,none,1,unknown_no_property,29,none,for_free,1,skilled_employee,1,none,yes,1
no_checking_account,15,existing_credits_paid_duly,car_used,3812,100_to_500_DM,less_than_1_year,1,female_divorced_separated_married,none,4,car_other,23,none,own,1,skilled_employee,1,yes_registered,yes,0
no_checking_account,11,critical_account,radio_tv,1154,100_to_500_DM,unemployed,4,female_divorced_separated_married,none,4,real_estate,57,none,own,3,unskilled_resident,1,none,yes,0
less_than_0_DM,12,existing_credits_paid_duly,furniture,1657,less_than_100_DM,1_to_4_years,2,male_single,none,2,real_estate,27,none,own,1,skilled_employee,1,none,yes,0
less_than_0_DM,24,existing_credits_paid_duly,radio_tv,1603,less_than_100_DM,greater_than_7_years,4,female_divorced_separated_married,none,4,car_other,55,none,own,1,skilled_employee,1,none,yes,0
less_than_0_DM,18,critical_account,car_new,5302,less_than_100_DM,greater_than_7_years,2,male_single,none,4,unknown_no_property,36,none,for_free,3,management_self_employed,1,yes_registered,yes,0
no_checking_account,12,critical_account,education,2748,less_than_100_DM,greater_than_7_years,2,female_divorced_separated_married,none,4,unknown_no_property,57,bank,for_free,3,unskilled_resident,1,none,yes,0
no_checking_account,10,critical_account,car_new,1231,less_than_100_DM,greater_than_7_years,3,male_single,none,4,real_estate,32,none,own,2,unskilled_resident,2,none,no,0
0_to_200_DM,15,existing_credits_paid_duly,radio_tv,802,less_than_100_DM,greater_than_7_years,4,male_single,none,3,car_other,37,none,own,1,skilled_employee,2,none,yes,1
no_checking_account,36,critical_account,business,6304,unknown_no_savings,greater_than_7_years,4,male_single,none,4,real_estate,36,none,own,2,skilled_employee,1,none,yes,0
no_checking_account,24,existing_credits_paid_duly,radio_tv,1533,less_than_100_DM,less_than_1_year,4,female_divorced_separated_married,none,3,car_other,38,stores,own,1,skilled_employee,1,yes_registered,yes,0
less_than_0_DM,14,existing_credits_paid_duly,car_new,8978,less_than_100_DM,greater_than_7_years,1,male_divorced_separated,none,4,savings_insurance,45,none,own,1,management_self_employed,1,yes_registered,no,1
no_checking_account,24,existing_credits_paid_duly,radio_tv,999,unknown_no_savings,greater_than_7_years,4,male_single,none,2,car_other,25,none,own,2,skilled_employee,1,none,yes,0
no_checking_account,18,existing_credits_paid_duly,car_new,2662,unknown_no_savings,4_to_7_years,4,male_single,none,3,savings_insurance,32,none,own,1,skilled_employee,1,none,no,0
no_checking_account,12,critical_account,furniture,1402,500_to_1000_DM,4_to_7_years,3,female_divorced_separated_married,none,4,car_other,37,none,rent,1,skilled_employee,1,yes_registered,yes,0
0_to_200_DM,48,all_credits_paid_duly,car_new,12169,unknown_no_savings,unemployed,4,male_single,co_applicant,4,unknown_no_property,36,none,for_free,1,management_self_employed,1,yes_registered,yes,0
0_to_200_DM,48,existing_credits_paid_duly,radio_tv,3060,less_than_100_DM,4_to_7_years,4,male_single,none,4,real_estate,28,none,own,2,skilled_employee,1,none,yes,1
less_than_0_DM,30,existing_credits_paid_duly,repairs,11998,less_than_100_DM,less_than_1_year,1,male_divorced_separated,none,1,unknown_no_property,34,none,own,1,unskilled_resident,1,yes_registered,yes,1
no_checking_account,9,existing_credits_paid_duly,radio_tv,2697,less_than_100_DM,1_to_4_years,1,male_single,none,2,real_estate,32,none,own,1,skilled_employee,2,none,yes,0
no_checking_account,18,critical_account,radio_tv,2404,less_than_100_DM,1_to_4_years,2,female_divorced_separated_married,none,2,car_other,26,none,own,2,skilled_employee,1,none,yes,0
less_than_0_DM,12,existing_credits_paid_duly,furniture,1262,unknown_no_savings,greater_than_7_years,2,male_divorced_separated,none,4,savings_insurance,49,none,own,1,unskilled_resident,1,yes_registered,yes,0
no_checking_account,6,existing_credits_paid_duly,furniture,4611,less_than_100_DM,less_than_1_year,1,female_divorced_separated_married,none,4,savings_insurance,32,none,own,1,skilled_employee,1,none,yes,1
no_checking_account,24,existing_credits_paid_duly,radio_tv,1901,100_to_500_DM,1_to_4_years,4,male_single,none,4,car_other,29,none,rent,1,management_self_employed,1,yes_registered,yes,0
no_checking_account,15,critical_account,car_used,3368,greater_than_1000_DM,greater_than_7_years,3,male_single,none,4,unknown_no_property,23,none,rent,2,skilled_employee,1,yes_registered,yes,0
no_checking_account,12,existing_credits_paid_duly,furniture,1574,less_than_100_DM,1_to_4_years,4,male_single,none,2,real_estate,50,none,own,1,skilled_employee,1,none,yes,0
greater_than_200_DM,18,all_credits_paid_duly,radio_tv,1445,unknown_no_savings,4_to_7_years,4,male_single,none,4,car_other,49,bank,own,1,unskilled_resident,1,none,yes,0
no_checking_account,15,critical_account,furniture,1520,unknown_no_savings,greater_than_7_years,4,male_single,none,4,savings_insurance,63,none,own,1,skilled_employee,1,none,yes,0
0_to_200_DM,24,critical_account,car_new,3878,100_to_500_DM,less_than_1_year,4,male_divorced_separated,none,2,car_other,37,none,own,1,skilled_employee,1,yes_registered,yes,0
less_than_0_DM,47,existing_credits_paid_duly,car_new,10722,less_than_100_DM,less_than_1_year,1,female_divorced_separated_married,none,1,real_estate,35,none,own,1,unskilled_resident,1,yes_registered,yes,0
less_than_0_DM,48,existing_credits_paid_duly,car_used,4788,less_than_100_DM,4_to_7_years,4,male_single,none,3,savings_insurance,26,none,own,1,skilled_employee,2,none,yes,0
0_to_200_DM,48,delay_in_paying,others,7582,100_to_500_DM,unemployed,2,male_single,none,4,unknown_no_property,31,none,for_free,1,management_self_employed,1,yes_registered,yes,0
0_to_200_DM,12,existing_credits_paid_duly,radio_tv,1092,less_than_100_DM,1_to_4_years,4,female_divorced_separated_married,guarantor,4,real_estate,49,none,own,2,skilled_employee,1,yes_registered,yes,0
less_than_0_DM,24,delay_in_paying,radio_tv,1024,less_than_100_DM,less_than_1_year,4,male_married_widowed,none,4,real_estate,48,stores,own,1,skilled_employee,1,none,yes,1
no_checking_account,12,existing_credits_paid_duly,business,1076,less_than_100_DM,1_to_4_years,2,male_married_widowed,none,2,real_estate,26,none,own,1,skilled_employee,1,yes_registered,no,0
0_to_200_DM,36,existing_credits_paid_duly,car_used,9398,less_than_100_DM,less_than_1_year,1,male_married_widowed,none,4,car_other,28,none,rent,1,management_self_employed,1,yes_registered,yes,1
less_than_0_DM,24,critical_account,car_used,6419,less_than_100_DM,greater_than_7_years,2,female_divorced_separated_married,none,4,unknown_no_property,44,none,for_free,2,management_self_employed,2,yes_registered,yes,0
greater_than_200_DM,42,critical_account,car_used,4796,less_than_100_DM,greater_than_7_years,4,male_single,none,4,unknown_no_property,56,none,for_free,1,skilled_employee,1,none,yes,0
no_checking_account,48,critical_account,business,7629,unknown_no_savings,greater_than_7_years,4,male_divorced_separated,none,2,car_other,46,bank,own,2,management_self_employed,2,none,yes,0
0_to_200_DM,48,existing_credits_paid_duly,furniture,9960,less_than_100_DM,less_than_1_year,1,female_divorced_separated_married,none,2,car_other,26,none,own,1,skilled_employee,1,yes_registered,yes,1
no_checking_account,12,existing_credits_paid_duly,car_used,4675,unknown_no_savings,less_than_1_year,1,female_divorced_separated_married,none,4,car_other,20,none,rent,1,skilled_employee,1,none,yes,0
no_checking_account,10,existing_credits_paid_duly,car_new,1287,unknown_no_savings,greater_than_7_years,4,male_single,co_applicant,2,savings_insurance,45,none,own,1,unskilled_resident,1,none,no,0
no_checking_account,18,existing_credits_paid_duly,furniture,2515,less_than_100_DM,1_to_4_years,3,male_single,none,4,real_estate,43,none,own,1,skilled_employee,1,yes_registered,yes,0
0_to_200_DM,21,critical_account,furniture,2745,greater_than_1000_DM,4_to_7_years,3,male_single,none,2,car_other,32,none,own,2,skilled_employee,1,yes_registered,yes,0
no_checking_account,6,existing_credits_paid_duly,car_new,672,less_than_100_DM,unemployed,1,female_divorced_separated_married,none,4,real_estate,54,none,own,1,unemployed_unskilled_non_resident,1,yes_registered,yes,0
0_to_200_DM,36,no_credits_taken,radio_tv,3804,less_than_100_DM,1_to_4_years,4,female_divorced_separated_married,none,1,car_other,42,none,own,1,skilled_employee,1,yes_registered,yes,1
greater_than_200_DM,24,critical_account,car_new,1344,unknown_no_savings,4_to_7_years,4,male_single,none,2,real_estate,37,bank,own,2,unskilled_resident,2,none,yes,1
less_than_0_DM,10,critical_account,car_new,1038,less_than_100_DM,4_to_7_years,4,male_single,co_applicant,3,savings_insurance,49,none,own,2,skilled_employee,1,yes_registered,yes,0
no_checking_account,48,critical_account,car_new,10127,500_to_1000_DM,1_to_4_years,2,male_single,none,2,unknown_no_property,44,bank,for_free,1,skilled_employee,1,none,yes,1
no_checking_account,6,existing_credits_paid_duly,furniture,1543,greater_than_1000_DM,1_to_4_years,4,male_divorced_separated,none,2,real_estate,33,none,own,1,skilled_employee,1,none,yes,0
no_checking_account,30,existing_credits_paid_duly,car_used,4811,unknown_no_savings,4_to_7_years,2,female_divorced_separated_married,none,4,savings_insurance,24,stores,rent,1,unskilled_resident,1,none,yes,0
less_than_0_DM,12,existing_credits_paid_duly,radio_tv,727,100_to_500_DM,less_than_1_year,4,male_married_widowed,none,3,unknown_no_property,33,none,own,1,unskilled_resident,1,yes_registered,yes,1
0_to_200_DM,8,existing_credits_paid_duly,furniture,1237,less_than_100_DM,1_to_4_years,3,female_divorced_separated_married,none,4,real_estate,24,none,own,1,skilled_employee,1,none,yes,1
0_to_200_DM,9,existing_credits_paid_duly,car_new,276,less_than_100_DM,1_to_4_years,4,male_married_widowed,none,4,real_estate,22,none,rent,1,unskilled_resident,1,none,yes,0
0_to_200_DM,48,existing_credits_paid_duly,others,5381,unknown_no_savings,unemployed,3,male_single,none,4,unknown_no_property,40,bank,for_free,1,unemployed_unskilled_non_resident,1,yes_registered,yes,0
no_checking_account,24,existing_credits_paid_duly,furniture,5511,100_to_500_DM,1_to_4_years,4,male_single,none,1,car_other,25,stores,own,1,skilled_employee,1,none,yes,0
greater_than_200_DM,24,existing_credits_paid_duly,furniture,3749,less_than_100_DM,less_than_1_year,2,female_divorced_separated_married,none,4,car_other,26,none,own,1,skilled_employee,1,none,yes,0
0_to_200_DM,12,existing_credits_paid_duly,car_new,685,less_than_100_DM,4_to_7_years,2,male_married_widowed,none,3,car_other,25,bank,own,1,unskilled_resident,1,none,yes,1
greater_than_200_DM,4,existing_credits_paid_duly,car_new,1494,unknown_no_savings,less_than_1_year,1,male_single,none,2,real_estate,29,none,own,1,unskilled_resident,2,none,no,0
less_than_0_DM,36,all_credits_paid_duly,furniture,2746,less_than_100_DM,greater_than_7_years,4,male_single,none,4,car_other,31,bank,own,1,skilled_employee,1,none,yes,1
less_than_0_DM,12,existing_credits_paid_duly,furniture,708,less_than_100_DM,1_to_4_years,2,male_single,guarantor,3,savings_insurance,38,none,own,1,unskilled_resident,2,none,yes,0
0_to_200_DM,24,existing_credits_paid_duly,furniture,4351,unknown_no_savings,1_to_4_years,1,female_divorced_separated_married,none,4,savings_insurance,48,none,own,1,unskilled_resident,1,yes_registered,yes,0
no_checking_account,12,critical_account,education,701,less_than_100_DM,1_to_4_years,4,male_single,none,2,car_other,32,none,own,2,skilled_employee,1,none,yes,0
less_than_0_DM,15,delay_in_paying,furniture,3643,less_than_100_DM,greater_than_7_years,1,female_divorced_separated_married,none,4,savings_insurance,27,none,own,2,unskilled_resident,1,none,yes,0
0_to_200_DM,30,critical_account,car_new,4249,less_than_100_DM,unemployed,4,male_married_widowed,none,2,car_other,28,none,own,2,management_self_employed,1,none,yes,1
less_than_0_DM,24,existing_credits_paid_duly,radio_tv,1938,less_than_100_DM,less_than_1_year,4,male_divorced_separated,none,3,savings_insurance,32,none,own,1,skilled_employee,1,none,yes,1
less_than_0_DM,24,existing_credits_paid_duly,car_used,2910,less_than_100_DM,4_to_7_years,2,male_single,none,1,unknown_no_property,34,none,for_free,1,management_self_employed,1,yes_registered,yes,0
less_than_0_DM,18,existing_credits_paid_duly,furniture,2659,greater_than_1000_DM,1_to_4_years,4,male_single,none,2,car_other,28,none,own,1,skilled_employee,1,none,yes,0
no_checking_account,18,critical_account,car_new,1028,less_than_100_DM,1_to_4_years,4,female_divorced_separated_married,none,3,real_estate,36,none,own,2,skilled_employee,1,none,yes,0
less_than_0_DM,8,critical_account,car_new,3398,less_than_100_DM,4_to_7_years,1,male_single,none,4,real_estate,39,none,own,2,unskilled_resident,1,none,no,0
no_checking_account,12,critical_account,furniture,5801,unknown_no_savings,greater_than_7_years,2,male_single,none,4,savings_insurance,49,none,rent,1,skilled_employee,1,yes_registered,yes,0
no_checking_account,24,existing_credits_paid_duly,car_new,1525,greater_than_1000_DM,4_to_7_years,4,female_divorced_separated_married,none,3,car_other,34,none,own,1,skilled_employee,2,yes_registered,yes,0
greater_than_200_DM,36,existing_credits_paid_duly,radio_tv,4473,less_than_100_DM,greater_than_7_years,4,male_single,none,2,car_other,31,none,own,1,skilled_employee,1,none,yes,0
0_to_200_DM,6,existing_credits_paid_duly,radio_tv,1068,less_than_100_DM,greater_than_7_years,4,male_single,none,4,car_other,28,none,own,1,skilled_employee,2,none,yes,0
less_than_0_DM,24,critical_account,car_used,6615,less_than_100_DM,unemployed,2,male_single,none,4,unknown_no_property,75,none,for_free,2,management_self_employed,1,yes_registered,yes,0
no_checking_account,18,critical_account,education,1864,100_to_500_DM,1_to_4_years,4,female_divorced_separated_married,none,2,real_estate,30,none,own,2,skilled_employee,1,none,yes,1
0_to_200_DM,60,existing_credits_paid_duly,car_new,7408,100_to_500_DM,less_than_1_year,4,female_divorced_separated_married,none,2,savings_insurance,24,none,own,1,management_self_employed,1,none,yes,1
no_checking_account,48,critical_account,car_used,11590,100_to_500_DM,1_to_4_years,2,female_divorced_separated_married,none,4,car_other,24,bank,rent,2,unskilled_resident,1,none,yes,1
less_than_0_DM,24,no_credits_taken,furniture,4110,less_than_100_DM,greater_than_7_years,3,male_single,none,4,unknown_no_property,23,bank,rent,2,skilled_employee,2,none,yes,1
less_than_0_DM,6,critical_account,furniture,3384,less_than_100_DM,1_to_4_years,1,male_divorced_separated,none,4,real_estate,44,none,rent,1,management_self_employed,1,yes_registered,yes,1
0_to_200_DM,13,existing_credits_paid_duly,radio_tv,2101,less_than_100_DM,less_than_1_year,2,female_divorced_separated_married,guarantor,4,savings_insurance,23,none,own,1,unskilled_resident,1,none,yes,0
less_than_0_DM,15,existing_credits_paid_duly,domestic_appliances,1275,unknown_no_savings,1_to_4_years,4,female_divorced_separated_married,none,2,car_other,24,none,rent,1,skilled_employee,1,none,yes,1
less_than_0_DM,24,existing_credits_paid_duly,furniture,4169,less_than_100_DM,1_to_4_years,4,male_single,none,4,savings_insurance,28,none,own,1,skilled_employee,1,none,yes,0
0_to_200_DM,10,existing_credits_paid_duly,furniture,1521,less_than_100_DM,1_to_4_years,4,male_divorced_separated,none,2,car_other,31,none,own,1,unskilled_resident,1,none,yes,0
0_to_200_DM,24,critical_account,education,5743,less_than_100_DM,less_than_1_year,2,female_divorced_separated_married,none,4,unknown_no_property,24,none,for_free,2,skilled_employee,1,yes_registered,yes,0
less_than_0_DM,21,existing_credits_paid_duly,furniture,3599,less_than_100_DM,4_to_7_years,1,female_divorced_separated_married,none,4,car_other,26,none,rent,1,unskilled_resident,1,none,yes,0
0_to_200_DM,18,existing_credits_paid_duly,radio_tv,3213,500_to_1000_DM,less_than_1_year,1,male_married_widowed,none,3,real_estate,25,none,rent,1,skilled_employee,1,none,yes,0
0_to_200_DM,18,existing_credits_paid_duly,business,4439,less_than_100_DM,greater_than_7_years,1,male_single,co_applicant,1,real_estate,33,bank,own,1,management_self_employed,1,yes_registered,yes,0
greater_than_200_DM,10,existing_credits_paid_duly,car_new,3949,less_than_100_DM,less_than_1_year,1,male_single,guarantor,1,savings_insurance,37,none,own,1,unskilled_resident,2,none,yes,0
no_checking_account,15,critical_account,radio_tv,1459,less_than_100_DM,1_to_4_years,4,female_divorced_separated_married,none,2,car_other,43,none,own,1,unskilled_resident,1,none,yes,0
0_to_200_DM,13,critical_account,radio_tv,882,less_than_100_DM,less_than_1_year,4,male_single,guarantor,4,real_estate,23,none,own,2,skilled_employee,1,none,yes,0
0_to_200_DM,24,existing_credits_paid_duly,radio_tv,3758,500_to_1000_DM,unemployed,1,female_divorced_separated_married,none,4,unknown_no_property,23,none,rent,1,unemployed_unskilled_non_resident,1,none,yes,0
no_checking_account,6,delay_in_paying,business,1743,100_to_500_DM,1_to_4_years,1,male_single,none,2,real_estate,34,none,own,2,unskilled_resident,1,none,yes,0
0_to_200_DM,9,critical_account,education,1136,greater_than_1000_DM,greater_than_7_years,4,male_single,none,3,unknown_no_property,32,none,for_free,2,skilled_employee,2,none,yes,1
no_checking_account,9,existing_credits_paid_duly,domestic_appliances,1236,less_than_100_DM,less_than_1_year,1,female_divorced_separated_married,none,4,real_estate,23,none,rent,1,skilled_employee,1,yes_registered,yes,0
0_to_200_DM,9,existing_credits_paid_duly,furniture,959,less_than_100_DM,1_to_4_years,1,female_divorced_separated_married,none,2,car_other,29,none,own,1,skilled_employee,1,none,no,1
no_checking_account,18,critical_account,car_used,3229,unknown_no_savings,unemployed,2,male_single,none,4,unknown_no_property,38,none,own,1,management_self_employed,1,yes_registered,yes,0
less_than_0_DM,12,no_credits_taken,radio_tv,6199,less_than_100_DM,1_to_4_years,4,male_single,none,2,savings_insurance,28,none,rent,2,skilled_employee,1,yes_registered,yes,1
no_checking_account,10,existing_credits_paid_duly,education,727,500_to_1000_DM,greater_than_7_years,4,male_single,none,4,unknown_no_property,46,none,for_free,1,skilled_employee,1,yes_registered,yes,0
0_to_200_DM,24,existing_credits_paid_duly,car_new,1246,less_than_100_DM,less_than_1_year,4,male_single,none,2,real_estate,23,stores,own,1,unskilled_resident,1,none,yes,1
no_checking_account,12,critical_account,radio_tv,2331,unknown_no_savings,greater_than_7_years,1,male_single,co_applicant,4,real_estate,49,none,own,1,skilled_employee,1,yes_registered,yes,0
no_checking_account,36,delay_in_paying,radio_tv,4463,less_than_100_DM,1_to_4_years,4,male_single,none,2,car_other,26,none,own,2,management_self_employed,1,yes_registered,yes,1
no_checking_account,12,existing_credits_paid_duly,radio_tv,776,less_than_100_DM,1_to_4_years,4,male_married_widowed,none,2,real_estate,28,none,own,1,skilled_employee,1,none,yes,0
less_than_0_DM,30,existing_credits_paid_duly,furniture,2406,less_than_100_DM,4_to_7_years,4,female_divorced_separated_married,none,4,real_estate,23,none,rent,1,skilled_employee,1,none,yes,1
0_to_200_DM,18,existing_credits_paid_duly,education,1239,unknown_no_savings,1_to_4_years,4,male_single,none,4,unknown_no_property,61,none,for_free,1,skilled_employee,1,none,yes,0
greater_than_200_DM,12,existing_credits_paid_duly,radio_tv,3399,unknown_no_savings,greater_than_7_years,2,male_single,none,3,car_other,37,none,own,1,management_self_employed,1,none,yes,0
greater_than_200_DM,12,delay_in_paying,car_new,2247,less_than_100_DM,1_to_4_years,2,female_divorced_separated_married,none,2,car_other,36,stores,own,2,skilled_employee,1,yes_registered,yes,0
no_checking_account,6,existing_credits_paid_duly,furniture,1766,less_than_100_DM,1_to_4_years,1,male_married_widowed,none,2,savings_insurance,21,none,rent,1,skilled_employee,1,none,yes,0
less_than_0_DM,18,existing_credits_paid_duly,furniture,2473,less_than_100_DM,unemployed,4,male_single,none,1,car_other,25,none,own,1,unemployed_unskilled_non_resident,1,none,yes,1
no_checking_account,12,existing_credits_paid_duly,business,1542,less_than_100_DM,4_to_7_years,2,male_single,none,4,car_other,36,none,own,1,skilled_employee,1,yes_registered,yes,0
no_checking_account,18,critical_account,car_used,3850,less_than_100_DM,4_to_7_years,3,male_single,none,1,car_other,27,none,own,2,skilled_employee,1,none,yes,0
less_than_0_DM,18,existing_credits_paid_duly,furniture,3650,less_than_100_DM,less_than_1_year,1,female_divorced_separated_married,none,4,car_other,22,none,rent,1,skilled_employee,1,none,yes,0
less_than_0_DM,36,existing_credits_paid_duly,furniture,3446,less_than_100_DM,greater_than_7_years,4,male_single,none,2,car_other,42,none,own,1,skilled_employee,2,none,yes,1
0_to_200_DM,18,existing_credits_paid_duly,furniture,3001,less_than_100_DM,4_to_7_years,2,female_divorced_separated_married,none,4,real_estate,40,none,rent,1,skilled_employee,1,none,yes,0
no_checking_account,36,existing_credits_paid_duly,car_new,3079,unknown_no_savings,1_to_4_years,4,male_single,none,4,real_estate,36,none,own,1,skilled_employee,1,none,yes,0
no_checking_account,18,critical_account,radio_tv,6070,less_than_100_DM,greater_than_7_years,3,male_single,none,4,car_other,33,none,own,2,skilled_employee,1,yes_registered,yes,0
no_checking_account,10,critical_account,furniture,2146,less_than_100_DM,less_than_1_year,1,female_divorced_separated_married,none,3,real_estate,23,none,rent,2,skilled_employee,1,none,yes,0
no_checking_account,60,critical_account,car_new,13756,unknown_no_savings,greater_than_7_years,2,male_single,none,4,unknown_no_property,63,bank,for_free,1,management_self_employed,1,yes_registered,yes,0
0_to_200_DM,60,all_credits_paid_duly,others,14782,100_to_500_DM,greater_than_7_years,3,female_divorced_separated_married,none,4,unknown_no_property,60,bank,for_free,2,management_self_employed,1,yes_registered,yes,1
less_than_0_DM,48,all_credits_paid_duly,business,7685,less_than_100_DM,4_to_7_years,2,female_divorced_separated_married,guarantor,4,car_other,37,none,rent,1,skilled_employee,1,none,yes,1
no_checking_account,18,delay_in_paying,radio_tv,2320,less_than_100_DM,unemployed,2,male_married_widowed,none,3,real_estate,34,none,own,2,skilled_employee,1,none,yes,0
no_checking_account,7,delay_in_paying,radio_tv,846,unknown_no_savings,greater_than_7_years,3,male_single,none,4,unknown_no_property,36,none,for_free,1,skilled_employee,1,none,yes,0
0_to_200_DM,36,existing_credits_paid_duly,car_new,14318,less_than_100_DM,greater_than_7_years,4,male_single,none,2,unknown_no_property,57,none,for_free,1,management_self_employed,1,yes_registered,yes,1
no_checking_account,6,critical_account,car_new,362,100_to_500_DM,1_to_4_years,4,female_divorced_separated_married,none,4,car_other,52,none,own,2,unskilled_resident,1,none,yes,0
less_than_0_DM,20,existing_credits_paid_duly,furniture,2212,unknown_no_savings,4_to_7_years,4,male_single,none,4,car_other,39,none,own,1,skilled_employee,1,yes_registered,yes,0
0_to_200_DM,18,existing_credits_paid_duly,car_used,12976,less_than_100_DM,unemployed,3,female_divorced_separated_married,none,4,unknown_no_property,38,none,for_free,1,management_self_employed,1,yes_registered,yes,1
no_checking_account,22,existing_credits_paid_duly,car_new,1283,unknown_no_savings,4_to_7_years,4,female_divorced_separated_married,none,4,savings_insurance,25,none,rent,1,skilled_employee,1,none,yes,0
greater_than_200_DM,12,existing_credits_paid_duly,car_new,1330,less_than_100_DM,less_than_1_year,4,male_single,none,1,real_estate,26,none,own,1,skilled_employee,1,none,yes,0
no_checking_account,30,delay_in_paying,business,4272,100_to_500_DM,1_to_4_years,2,male_single,none,2,savings_insurance,26,none,own,2,unskilled_resident,1,none,yes,0
no_checking_account,18,critical_account,radio_tv,2238,less_than_100_DM,1_to_4_years,2,female_divorced_separated_married,none,1,car_other,25,none,own,2,skilled_employee,1,none,yes,0
no_checking_account,18,existing_credits_paid_duly,radio_tv,1126,unknown_no_savings,less_than_1_year,4,female_divorced_separated_married,none,2,real_estate,21,none,rent,1,skilled_employee,1,yes_registered,yes,0
0_to_200_DM,18,critical_account,furniture,7374,less_than_100_DM,unemployed,4,male_single,none,4,savings_insurance,40,stores,own,2,management_self_employed,1,yes_registered,yes,0
0_to_200_DM,15,critical_account,business,2326,500_to_1000_DM,1_to_4_years,2,male_single,none,4,car_other,27,bank,own,1,skilled_employee,1,none,yes,0
no_checking_account,9,existing_credits_paid_duly,business,1449,less_than_100_DM,4_to_7_years,3,female_divorced_separated_married,none,2,car_other,27,none,own,2,skilled_employee,1,none,yes,0
no_checking_account,18,existing_credits_paid_duly,car_new,1820,less_than_100_DM,1_to_4_years,2,male_married_widowed,none,2,savings_insurance,30,none,own,1,management_self_employed,1,yes_registered,yes,0
0_to_200_DM,12,existing_credits_paid_duly,furniture,983,greater_than_1000_DM,less_than_1_year,1,female_divorced_separated_married,none,4,real_estate,19,none,rent,1,unskilled_resident,1,none,yes,0
less_than_0_DM,36,existing_credits_paid_duly,car_new,3249,less_than_100_DM,4_to_7_years,2,male_single,none,4,unknown_no_property,39,bank,for_free,1,management_self_employed,2,yes_registered,yes,0
less_than_0_DM,6,critical_account,radio_tv,1957,less_than_100_DM,4_to_7_years,1,female_divorced_separated_married,none,4,car_other,31,none,own,1,skilled_employee,1,none,yes,0
no_checking_account,9,critical_account,furniture,2406,less_than_100_DM,unemployed,2,male_single,none,3,car_other,31,none,own,1,management_self_employed,1,none,yes,0
0_to_200_DM,39,delay_in_paying,education,11760,100_to_500_DM,4_to_7_years,2,male_single,none,3,unknown_no_property,32,none,rent,1,skilled_employee,1,yes_registered,yes,0
less_than_0_DM,12,existing_credits_paid_duly,furniture,2578,less_than_100_DM,unemployed,3,female_divorced_separated_married,none,4,unknown_no_property,55,none,for_free,1,management_self_employed,1,none,yes,0
less_than_0_DM,36,critical_account,furniture,2348,less_than_100_DM,1_to_4_years,3,male_married_widowed,none,2,savings_insurance,46,none,own,2,skilled_employee,1,yes_registered,yes,0
0_to_200_DM,12,existing_credits_paid_duly,car_new,1223,less_than_100_DM,greater_than_7_years,1,male_divorced_separated,none,1,real_estate,46,none,rent,2,skilled_employee,1,none,yes,1
no_checking_account,24,critical_account,radio_tv,1516,greater_than_1000_DM,1_to_4_years,4,female_divorced_separated_married,none,1,real_estate,43,none,own,2,unskilled_resident,1,none,yes,0
no_checking_account,18,existing_credits_paid_duly,radio_tv,1473,less_than_100_DM,less_than_1_year,3,male_married_widowed,none,4,real_estate,39,none,own,1,skilled_employee,1,yes_registered,yes,0
0_to_200_DM,18,critical_account,business,1887,unknown_no_savings,1_to_4_years,4,male_married_widowed,none,4,real_estate,28,bank,own,2,skilled_employee,1,none,yes,0
no_checking_account,24,delay_in_paying,business,8648,less_than_100_DM,less_than_1_year,2,male_single,none,2,car_other,27,bank,own,2,skilled_employee,1,yes_registered,yes,1
no_checking_account,14,delay_in_paying,car_new,802,less_than_100_DM,1_to_4_years,4,male_single,none,2,car_other,27,none,own,2,unskilled_resident,1,none,yes,0
